Id,Sentiment
0,Extremely Positive
1,Negative
2,Neutral
3,Negative
4,Extremely Negative
5,Extremely Negative
6,Neutral
7,Positive
8,Extremely Negative
9,Negative
10,Positive
11,Positive
12,Positive
13,Positive
14,Extremely Negative
15,Positive
16,Positive
17,Positive
18,Neutral
19,Extremely Positive
20,Negative
21,Neutral
22,Neutral
23,Positive
24,Positive
25,Positive
26,Positive
27,Positive
28,Negative
29,Negative
30,Extremely Positive
31,Negative
32,Negative
33,Extremely Positive
34,Extremely Negative
35,Positive
36,Positive
37,Positive
38,Negative
39,Neutral
40,Extremely Negative
41,Extremely Negative
42,Negative
43,Extremely Negative
44,Positive
45,Neutral
46,Negative
47,Extremely Negative
48,Positive
49,Extremely Positive
50,Neutral
51,Positive
52,Positive
53,Positive
54,Positive
55,Positive
56,Extremely Positive
57,Negative
58,Neutral
59,Extremely Positive
60,Negative
61,Extremely Positive
62,Extremely Positive
63,Positive
64,Extremely Negative
65,Neutral
66,Extremely Negative
67,Negative
68,Neutral
69,Extremely Negative
70,Neutral
71,Extremely Positive
72,Neutral
73,Extremely Negative
74,Positive
75,Negative
76,Extremely Positive
77,Positive
78,Neutral
79,Neutral
80,Negative
81,Negative
82,Extremely Positive
83,Positive
84,Negative
85,Neutral
86,Positive
87,Neutral
88,Neutral
89,Neutral
90,Neutral
91,Neutral
92,Extremely Negative
93,Neutral
94,Neutral
95,Neutral
96,Negative
97,Extremely Negative
98,Extremely Negative
99,Positive
100,Negative
101,Negative
102,Extremely Positive
103,Positive
104,Neutral
105,Positive
106,Positive
107,Negative
108,Extremely Positive
109,Negative
110,Extremely Positive
111,Extremely Negative
112,Negative
113,Neutral
114,Negative
115,Extremely Positive
116,Negative
117,Neutral
118,Extremely Positive
119,Positive
120,Neutral
121,Positive
122,Neutral
123,Negative
124,Negative
125,Positive
126,Extremely Positive
127,Negative
128,Positive
129,Positive
130,Positive
131,Extremely Positive
132,Positive
133,Neutral
134,Neutral
135,Extremely Positive
136,Negative
137,Positive
138,Extremely Positive
139,Positive
140,Negative
141,Positive
142,Negative
143,Negative
144,Extremely Positive
145,Extremely Positive
146,Extremely Positive
147,Positive
148,Extremely Positive
149,Negative
150,Extremely Negative
151,Positive
152,Neutral
153,Extremely Positive
154,Negative
155,Extremely Negative
156,Extremely Positive
157,Neutral
158,Positive
159,Positive
160,Extremely Negative
161,Extremely Negative
162,Negative
163,Positive
164,Extremely Negative
165,Positive
166,Extremely Positive
167,Extremely Positive
168,Positive
169,Neutral
170,Extremely Positive
171,Neutral
172,Extremely Negative
173,Positive
174,Positive
175,Positive
176,Negative
177,Extremely Negative
178,Extremely Negative
179,Extremely Positive
180,Extremely Positive
181,Extremely Negative
182,Positive
183,Extremely Negative
184,Positive
185,Extremely Positive
186,Negative
187,Neutral
188,Positive
189,Positive
190,Extremely Negative
191,Negative
192,Extremely Negative
193,Extremely Positive
194,Negative
195,Extremely Negative
196,Negative
197,Negative
198,Positive
199,Neutral
200,Negative
201,Extremely Positive
202,Positive
203,Negative
204,Positive
205,Negative
206,Extremely Positive
207,Extremely Negative
208,Negative
209,Extremely Negative
210,Extremely Negative
211,Negative
212,Extremely Positive
213,Extremely Negative
214,Extremely Positive
215,Neutral
216,Neutral
217,Negative
218,Extremely Negative
219,Negative
220,Extremely Negative
221,Positive
222,Positive
223,Positive
224,Neutral
225,Positive
226,Neutral
227,Negative
228,Negative
229,Negative
230,Positive
231,Extremely Positive
232,Positive
233,Neutral
234,Extremely Negative
235,Neutral
236,Positive
237,Negative
238,Negative
239,Positive
240,Positive
241,Negative
242,Extremely Positive
243,Neutral
244,Negative
245,Neutral
246,Negative
247,Neutral
248,Positive
249,Extremely Negative
250,Extremely Negative
251,Negative
252,Neutral
253,Positive
254,Extremely Negative
255,Extremely Negative
256,Positive
257,Positive
258,Neutral
259,Negative
260,Positive
261,Extremely Positive
262,Extremely Positive
263,Positive
264,Neutral
265,Extremely Negative
266,Extremely Positive
267,Negative
268,Positive
269,Negative
270,Negative
271,Positive
272,Neutral
273,Neutral
274,Neutral
275,Extremely Negative
276,Positive
277,Negative
278,Negative
279,Extremely Negative
280,Neutral
281,Extremely Positive
282,Extremely Positive
283,Negative
284,Positive
285,Negative
286,Negative
287,Positive
288,Positive
289,Neutral
290,Positive
291,Negative
292,Extremely Positive
293,Extremely Negative
294,Negative
295,Negative
296,Negative
297,Positive
298,Neutral
299,Negative
300,Negative
301,Positive
302,Positive
303,Negative
304,Positive
305,Neutral
306,Extremely Positive
307,Extremely Negative
308,Negative
309,Negative
310,Negative
311,Extremely Positive
312,Positive
313,Negative
314,Positive
315,Neutral
316,Positive
317,Extremely Negative
318,Neutral
319,Negative
320,Extremely Positive
321,Extremely Negative
322,Positive
323,Positive
324,Negative
325,Extremely Negative
326,Extremely Negative
327,Extremely Positive
328,Extremely Positive
329,Negative
330,Extremely Positive
331,Extremely Negative
332,Positive
333,Extremely Positive
334,Negative
335,Neutral
336,Neutral
337,Negative
338,Neutral
339,Extremely Positive
340,Negative
341,Extremely Positive
342,Extremely Positive
343,Negative
344,Neutral
345,Neutral
346,Extremely Negative
347,Extremely Positive
348,Negative
349,Extremely Positive
350,Negative
351,Negative
352,Positive
353,Negative
354,Neutral
355,Neutral
356,Negative
357,Positive
358,Negative
359,Neutral
360,Negative
361,Extremely Positive
362,Neutral
363,Extremely Negative
364,Neutral
365,Extremely Positive
366,Negative
367,Extremely Negative
368,Extremely Negative
369,Negative
370,Neutral
371,Extremely Positive
372,Extremely Positive
373,Negative
374,Extremely Positive
375,Negative
376,Positive
377,Extremely Negative
378,Negative
379,Positive
380,Extremely Negative
381,Extremely Positive
382,Negative
383,Negative
384,Positive
385,Neutral
386,Positive
387,Neutral
388,Extremely Positive
389,Negative
390,Negative
391,Extremely Positive
392,Extremely Positive
393,Positive
394,Extremely Negative
395,Extremely Positive
396,Extremely Positive
397,Neutral
398,Negative
399,Positive
400,Neutral
401,Negative
402,Positive
403,Extremely Positive
404,Negative
405,Extremely Positive
406,Extremely Positive
407,Positive
408,Neutral
409,Positive
410,Extremely Positive
411,Neutral
412,Extremely Positive
413,Neutral
414,Positive
415,Negative
416,Negative
417,Negative
418,Neutral
419,Positive
420,Positive
421,Negative
422,Negative
423,Neutral
424,Extremely Positive
425,Extremely Positive
426,Positive
427,Negative
428,Negative
429,Neutral
430,Neutral
431,Positive
432,Neutral
433,Negative
434,Negative
435,Extremely Negative
436,Extremely Negative
437,Negative
438,Extremely Negative
439,Positive
440,Neutral
441,Negative
442,Negative
443,Extremely Negative
444,Negative
445,Extremely Negative
446,Neutral
447,Negative
448,Positive
449,Negative
450,Negative
451,Neutral
452,Extremely Negative
453,Positive
454,Extremely Positive
455,Positive
456,Negative
457,Positive
458,Extremely Positive
459,Positive
460,Negative
461,Extremely Positive
462,Negative
463,Neutral
464,Negative
465,Extremely Positive
466,Negative
467,Negative
468,Extremely Positive
469,Extremely Negative
470,Extremely Positive
471,Extremely Negative
472,Negative
473,Neutral
474,Extremely Positive
475,Neutral
476,Extremely Positive
477,Negative
478,Positive
479,Extremely Negative
480,Negative
481,Negative
482,Positive
483,Extremely Negative
484,Positive
485,Negative
486,Positive
487,Extremely Positive
488,Extremely Negative
489,Negative
490,Extremely Negative
491,Negative
492,Neutral
493,Positive
494,Negative
495,Extremely Negative
496,Neutral
497,Extremely Positive
498,Extremely Negative
499,Extremely Positive
500,Extremely Negative
501,Extremely Positive
502,Neutral
503,Positive
504,Neutral
505,Positive
506,Negative
507,Neutral
508,Negative
509,Negative
510,Neutral
511,Negative
512,Negative
513,Extremely Positive
514,Extremely Positive
515,Extremely Positive
516,Negative
517,Positive
518,Extremely Positive
519,Extremely Negative
520,Extremely Positive
521,Positive
522,Neutral
523,Positive
524,Extremely Negative
525,Neutral
526,Positive
527,Negative
528,Neutral
529,Positive
530,Neutral
531,Neutral
532,Negative
533,Negative
534,Positive
535,Positive
536,Negative
537,Neutral
538,Negative
539,Extremely Positive
540,Extremely Positive
541,Extremely Negative
542,Neutral
543,Negative
544,Extremely Negative
545,Positive
546,Extremely Positive
547,Negative
548,Neutral
549,Positive
550,Negative
551,Neutral
552,Extremely Positive
553,Negative
554,Positive
555,Neutral
556,Extremely Negative
557,Negative
558,Extremely Negative
559,Extremely Positive
560,Negative
561,Positive
562,Neutral
563,Negative
564,Extremely Positive
565,Neutral
566,Extremely Negative
567,Extremely Negative
568,Neutral
569,Positive
570,Positive
571,Extremely Negative
572,Negative
573,Negative
574,Extremely Positive
575,Extremely Negative
576,Extremely Negative
577,Extremely Positive
578,Negative
579,Extremely Negative
580,Neutral
581,Positive
582,Positive
583,Extremely Positive
584,Extremely Positive
585,Positive
586,Negative
587,Positive
588,Negative
589,Negative
590,Positive
591,Negative
592,Negative
593,Extremely Negative
594,Extremely Negative
595,Extremely Negative
596,Extremely Positive
597,Neutral
598,Extremely Positive
599,Positive
600,Neutral
601,Extremely Negative
